ProductionID,DateKey,LineID,ShiftID,ProductID,UnitsProduced,UnitsDefective,DowntimeMinutes,ScrapCost
197,20240124,4,2,5,4035,170,75.2,1088.0
198,20240124,2,3,3,5379,183,20.9,4172.4
199,20240124,4,3,4,4646,149,9.0,3739.9
200,20240124,2,3,6,5641,235,3.4,1668.5
201,20240124,4,2,5,4912,214,12.5,1369.6
202,20240124,4,1,6,4328,88,0.0,624.8
203,20240124,1,3,5,3299,77,0.6,492.8
204,20240124,3,1,2,2754,84,20.0,1192.8
205,20240124,2,1,3,6941,175,11.7,3990.0
206,20240124,3,1,4,2795,123,32.9,3087.3
207,20240125,4,2,6,4683,97,9.0,688.7
208,20240125,3,3,2,2955,68,0.9,965.6
209,20240125,3,3,8,2647,125,1.2,4237.5
210,20240125,2,2,2,5193,147,7.5,2087.4
211,20240125,3,2,2,2510,68,27.8,965.6
212,20240125,1,1,5,3702,108,8.1,691.2
213,20240125,1,1,6,3117,95,17.0,674.5
214,20240125,2,3,5,4283,53,4.4,339.2
215,20240125,1,3,2,3837,166,0.5,2357.2
216,20240125,1,2,4,3904,159,5.4,3990.9
217,20240126,2,3,8,6583,238,0.7,8068.2
218,20240126,1,1,5,4434,113,1.3,723.2
219,20240126,4,2,3,4446,128,13.2,2918.4
220,20240126,4,1,5,4531,89,0.0,569.6
221,20240126,3,2,3,2007,84,23.5,1915.2
222,20240126,4,3,7,5040,103,5.6,3244.5
223,20240126,4,2,4,5057,213,3.4,5346.3
224,20240126,2,3,6,6917,164,16.3,1164.4
225,20240126,4,3,8,4515,151,0.0,5118.9
226,20240126,1,3,5,3731,65,2.5,416.0
227,20240127,3,2,5,2688,64,3.0,409.6
228,20240127,3,1,3,2825,111,10.5,2530.8
229,20240127,1,2,8,3191,107,15.7,3627.3
230,20240127,2,1,7,5245,80,28.3,2520.0
231,20240127,2,3,3,6185,108,16.5,2462.4
232,20240127,4,3,7,4510,164,0.0,5166.0
233,20240127,3,1,8,2858,101,8.1,3423.9
234,20240128,4,1,2,3752,150,0.0,2130.0
235,20240128,4,2,1,5709,194,13.6,2425.0
236,20240128,3,1,7,3005,48,1.3,1512.0
237,20240128,3,2,5,2322,104,20.9,665.6
238,20240128,4,1,8,4516,162,1.4,5491.8
239,20240128,2,1,3,5206,194,35.8,4423.2
240,20240129,1,3,2,3785,120,16.7,1704.0
241,20240129,2,3,8,6306,355,11.2,12034.5
242,20240129,3,1,1,2616,31,6.0,387.5
243,20240129,3,2,3,2843,149,40.7,3397.2
244,20240129,1,3,2,3144,68,33.3,965.6
245,20240129,3,2,2,2604,148,8.8,2101.6
246,20240129,4,1,2,4547,140,1.4,1988.0
247,20240129,2,3,2,4962,135,8.3,1917.0
248,20240130,2,3,7,6282,234,18.8,7371.0
249,20240130,2,2,7,6099,156,11.4,4914.0
250,20240130,3,2,8,2284,97,43.6,3288.3
251,20240130,3,1,5,2618,79,59.6,505.6
252,20240130,1,3,6,3643,123,5.6,873.3
253,20240130,2,2,6,6118,186,33.8,1320.6
254,20240130,4,2,2,4098,78,6.9,1107.6
255,20240130,1,1,6,4411,156,4.1,1107.6
256,20240130,1,3,7,3974,179,8.8,5638.5
257,20240131,2,2,2,5769,182,2.9,2584.4
258,20240131,2,3,4,5618,182,5.8,4568.2
259,20240131,1,1,7,4179,129,20.2,4063.5
260,20240131,2,3,5,6034,203,5.4,1299.2
261,20240131,3,2,4,2633,106,68.1,2660.6
262,20240131,4,1,2,4625,65,21.6,923.0
263,20240131,4,1,8,4124,64,28.9,2169.6
264,20240131,1,2,6,5323,74,11.8,525.4
265,20240131,4,2,6,3506,168,28.8,1192.8
266,20240201,3,1,7,2692,83,6.0,2614.5
267,20240201,3,1,7,2556,51,42.1,1606.5
268,20240201,4,1,5,4035,65,11.2,416.0
269,20240201,3,1,8,2762,105,7.3,3559.5
270,20240201,3,1,4,2741,85,9.0,2133.5
271,20240201,3,2,7,2394,50,6.5,1575.0
272,20240202,1,1,2,3636,164,6.5,2328.8
273,20240202,4,2,7,5288,42,14.5,1323.0
274,20240202,2,1,4,4856,190,22.6,4769.0
275,20240202,3,2,2,2793,123,22.6,1746.6
276,20240202,4,2,3,4846,73,0.0,1664.4
277,20240202,2,2,6,6500,259,8.7,1838.9
278,20240202,1,1,4,3774,251,22.0,6300.1
279,20240202,3,2,6,2683,97,20.4,688.7
280,20240203,1,3,4,3144,125,3.2,3137.5
281,20240203,3,3,6,2942,91,16.7,646.1
282,20240203,2,1,7,6389,178,18.5,5607.0
283,20240203,4,1,8,4226,36,65.8,1220.4
284,20240203,3,3,3,2905,133,9.9,3032.4
285,20240203,4,2,5,5510,189,0.0,1209.6
286,20240203,2,2,5,6082,117,18.5,748.8
287,20240203,1,2,5,3689,71,17.1,454.4
288,20240203,4,2,7,4376,122,10.7,3843.0
289,20240204,2,1,8,5981,329,24.4,11153.1
290,20240204,1,2,2,3868,51,20.0,724.2
291,20240204,3,2,3,2318,25,4.4,570.0
292,20240204,4,1,4,3513,98,22.8,2459.8
293,20240204,1,2,5,3819,155,13.9,992.0
294,20240204,3,2,7,2957,114,12.5,3591.0
295,20240205,2,1,4,6018,40,1.0,1004.0
296,20240205,4,2,4,4522,74,22.8,1857.4
297,20240205,3,2,2,2283,53,13.0,752.6
298,20240205,2,2,6,6404,237,18.0,1682.7
299,20240205,4,1,3,4243,173,8.3,3944.4
300,20240205,3,3,4,2774,61,3.6,1531.1
301,20240205,1,2,4,3189,102,1.6,2560.2
302,20240206,1,3,5,3448,66,3.3,422.4
303,20240206,4,1,2,4789,158,15.5,2243.6
304,20240206,1,2,6,3731,204,48.7,1448.4
305,20240206,4,2,4,5054,163,15.1,4091.3
306,20240206,2,2,3,5838,287,37.3,6543.6
307,20240206,4,1,8,4275,8,0.0,271.2
308,20240207,3,3,5,2433,87,8.5,556.8
309,20240207,3,2,1,2428,75,8.3,937.5
310,20240207,1,2,1,3659,115,29.4,1437.5
311,20240207,4,3,3,4545,206,0.0,4696.8
312,20240207,4,2,3,4606,148,11.4,3374.4
313,20240207,1,3,3,3305,141,4.1,3214.8
314,20240207,4,2,5,5621,256,0.0,1638.4
315,20240207,4,1,5,4060,151,8.5,966.4
316,20240207,3,3,5,2575,126,73.7,806.4
317,20240207,3,3,2,2455,83,19.8,1178.6
318,20240207,3,3,1,2859,115,22.1,1437.5
319,20240208,1,2,6,3292,94,0.4,667.4
320,20240208,2,3,1,5257,226,2.6,2825.0
321,20240208,1,2,4,3837,93,23.8,2334.3
322,20240208,3,2,5,2822,124,16.2,793.6
323,20240208,2,3,8,6801,290,18.8,9831.0
324,20240208,3,3,6,2925,114,3.3,809.4
325,20240208,1,2,7,3947,131,38.4,4126.5
326,20240208,4,1,1,4294,131,0.0,1637.5
327,20240208,4,1,2,4633,143,0.0,2030.6
328,20240208,4,2,6,4057,21,4.1,149.1
329,20240208,4,2,1,4133,116,46.4,1450.0
330,20240209,4,2,5,3735,48,1.5,307.2
331,20240209,3,1,5,3050,112,2.7,716.8
332,20240209,1,1,2,4161,104,1.1,1476.8
333,20240209,3,3,7,2679,56,26.1,1764.0
334,20240209,3,3,7,2924,84,9.4,2646.0
335,20240209,1,2,2,4528,147,12.9,2087.4
336,20240209,1,1,6,3476,87,31.4,617.7
337,20240209,3,1,7,2661,61,33.6,1921.5
338,20240209,4,2,4,4659,154,12.8,3865.4
339,20240210,4,2,3,4145,82,38.0,1869.6
340,20240210,2,2,4,6843,173,3.4,4342.3
341,20240210,3,2,5,2419,80,0.6,512.0
342,20240210,3,3,8,2445,91,16.9,3084.9
343,20240210,1,2,7,3229,125,14.6,3937.5
344,20240210,3,1,4,2547,70,9.8,1757.0
345,20240210,2,1,5,5561,104,17.4,665.6
346,20240210,4,1,6,3387,120,5.3,852.0
347,20240210,1,1,5,3539,62,47.5,396.8
348,20240210,2,1,7,5054,202,3.5,6363.0
349,20240211,4,2,8,5003,128,35.7,4339.2
350,20240211,1,1,7,4208,147,31.1,4630.5
351,20240211,3,3,1,2987,165,8.9,2062.5
352,20240211,4,2,1,5524,172,4.5,2150.0
353,20240211,3,3,4,2301,74,70.9,1857.4
354,20240211,2,1,7,6313,163,28.0,5134.5
355,20240211,1,2,5,2891,61,0.9,390.4
356,20240211,3,2,4,2966,82,30.9,2058.2
357,20240211,4,3,3,3679,7,28.1,159.6
358,20240211,3,2,2,2457,88,9.8,1249.6
359,20240212,4,1,4,4315,132,4.7,3313.2
360,20240212,2,2,5,4426,192,32.3,1228.8
361,20240212,2,2,5,6833,309,1.3,1977.6
362,20240212,1,1,3,3068,108,12.6,2462.4
363,20240212,2,2,6,5086,255,25.1,1810.5
364,20240212,3,2,8,2672,129,33.5,4373.1
365,20240212,4,1,4,4682,119,9.8,2986.9
366,20240213,2,1,7,6969,168,5.6,5292.0
367,20240213,4,3,8,3801,134,1.6,4542.6
368,20240213,1,3,3,3266,153,29.4,3488.4
369,20240213,3,1,6,2285,51,5.9,362.1
370,20240213,3,1,4,2407,110,5.1,2761.0
371,20240213,3,1,7,2448,92,13.0,2898.0
372,20240213,4,2,3,4440,79,2.4,1801.2
373,20240214,3,1,2,2297,31,13.6,440.2
374,20240214,4,3,7,3935,30,0.0,945.0
375,20240214,3,3,1,2789,82,40.7,1025.0
376,20240214,2,2,3,5729,252,3.1,5745.6
377,20240214,4,1,3,4982,251,31.2,5722.8
378,20240214,2,3,3,5731,200,49.0,4560.0
379,20240214,2,2,5,5314,115,26.1,736.0
380,20240214,1,1,4,3297,90,0.3,2259.0
381,20240214,1,2,4,3877,76,34.1,1907.6
382,20240215,4,1,3,4542,113,24.6,2576.4
383,20240215,1,3,6,3833,164,14.9,1164.4
384,20240215,3,1,1,2666,84,85.7,1050.0
385,20240215,3,3,6,2347,58,19.5,411.8
386,20240215,1,2,7,3712,7,6.9,220.5
387,20240215,1,1,2,3231,109,1.7,1547.8
388,20240215,2,2,7,4875,233,4.9,7339.5
389,20240215,4,1,4,3440,82,6.6,2058.2
390,20240216,3,1,2,3170,132,21.7,1874.4
391,20240216,4,1,2,5626,92,29.1,1306.4
392,20240216,1,1,6,3838,79,14.1,560.9
393,20240216,1,3,1,4510,201,3.0,2512.5
394,20240216,1,3,6,3976,211,8.0,1498.1
395,20240216,3,3,4,3010,58,9.1,1455.8
396,20240217,1,1,8,4230,107,11.3,3627.3
397,20240217,4,1,2,4666,131,0.0,1860.2
398,20240217,2,1,4,7760,180,15.7,4518.0
399,20240217,1,2,3,4724,216,37.0,4924.8
400,20240217,4,1,7,3648,69,0.0,2173.5
401,20240217,2,1,8,7635,190,31.8,6441.0
402,20240218,4,2,4,5332,51,24.1,1280.1
403,20240218,4,1,3,4785,210,2.5,4788.0
404,20240218,3,2,8,2555,77,11.1,2610.3
405,20240218,3,3,1,2633,33,1.3,412.5
406,20240218,1,3,8,3615,63,0.3,2135.7
407,20240218,3,3,4,1939,82,17.7,2058.2
408,20240218,2,1,7,5403,120,11.6,3780.0
409,20240219,2,1,8,7514,277,0.8,9390.3
410,20240219,1,2,5,3013,99,8.0,633.6
411,20240219,4,2,8,5122,231,4.5,7830.9
412,20240219,4,3,7,3805,107,0.0,3370.5
413,20240219,1,1,8,4409,206,33.4,6983.4
414,20240219,4,1,2,4177,173,18.6,2456.6
415,20240219,2,1,8,5819,98,14.3,3322.2
416,20240219,3,1,5,3055,59,11.9,377.6
417,20240220,4,2,4,5150,108,9.9,2710.8
418,20240220,4,2,6,3495,74,38.7,525.4
419,20240220,3,3,4,2525,78,6.9,1957.8
420,20240220,4,2,7,5017,146,0.0,4599.0
421,20240220,3,3,6,2141,93,5.3,660.3
422,20240220,4,1,5,3659,186,12.2,1190.4
423,20240220,2,1,5,4855,230,35.8,1472.0
424,20240220,3,3,2,3224,136,20.5,1931.2
425,20240220,3,3,4,2475,71,35.3,1782.1
426,20240220,3,3,6,2635,91,49.1,646.1
427,20240220,3,2,6,3231,67,23.3,475.7
428,20240221,1,1,1,4018,96,43.2,1200.0
429,20240221,2,2,8,5642,155,12.0,5254.5
430,20240221,1,1,5,3495,128,21.1,819.2
431,20240221,4,3,4,4288,113,0.0,2836.3
432,20240221,3,1,1,2923,72,29.3,900.0
433,20240221,2,1,1,6571,162,57.7,2025.0
434,20240221,3,2,7,2653,146,16.7,4599.0
435,20240221,4,1,1,3971,180,33.1,2250.0
436,20240222,1,1,1,4091,78,17.9,975.0
437,20240222,3,3,3,2172,38,7.6,866.4
438,20240222,1,2,6,3476,9,10.8,63.9
439,20240222,3,2,1,2359,90,5.8,1125.0
440,20240222,1,2,8,4251,35,11.7,1186.5
441,20240222,3,2,8,2812,106,23.1,3593.4
442,20240222,2,3,6,6203,197,2.1,1398.7
443,20240222,1,1,4,4606,112,12.8,2811.2
444,20240222,4,3,5,4673,133,20.3,851.2
445,20240223,3,3,8,2494,108,55.4,3661.2
446,20240223,1,1,2,3855,60,6.2,852.0
447,20240223,1,3,7,3682,101,6.4,3181.5
448,20240223,4,1,5,4450,58,19.1,371.2
449,20240223,2,1,5,5539,105,6.1,672.0
450,20240223,3,1,6,3020,93,19.1,660.3
451,20240223,3,2,4,2504,79,3.6,1982.9
452,20240223,2,2,5,6946,159,7.6,1017.6
453,20240223,2,3,6,7360,279,46.9,1980.9
454,20240223,1,1,3,3782,129,15.0,2941.2
455,20240223,3,1,6,2729,14,9.6,99.4
456,20240224,1,1,6,3424,100,2.9,710.0
457,20240224,2,2,8,6477,130,14.2,4407.0
458,20240224,4,3,3,4612,123,0.0,2804.4
459,20240224,3,2,2,2720,96,9.9,1363.2
460,20240224,1,3,6,4431,161,30.1,1143.1
461,20240224,2,2,7,6403,35,0.8,1102.5
462,20240225,4,3,8,4315,110,11.3,3729.0
463,20240225,3,3,8,3011,116,6.4,3932.4
464,20240225,4,1,8,5018,171,9.4,5796.9
465,20240225,1,2,5,3592,80,30.4,512.0
466,20240225,4,1,2,4373,89,15.5,1263.8
467,20240225,1,2,7,4500,148,32.6,4662.0
468,20240225,1,2,1,3781,78,31.0,975.0
469,20240225,2,3,8,7049,83,63.0,2813.7
470,20240225,4,3,8,4365,255,8.5,8644.5
471,20240225,4,3,3,4731,169,24.4,3853.2
472,20240225,1,1,5,3736,93,7.4,595.2
473,20240226,3,1,7,2517,30,11.6,945.0
474,20240226,3,3,7,3081,96,9.3,3024.0
475,20240226,3,2,3,2461,79,10.7,1801.2
476,20240226,3,1,3,3128,134,6.0,3055.2
477,20240226,4,3,6,3832,117,0.0,830.7
478,20240226,2,1,1,5924,204,16.6,2550.0
479,20240226,4,1,8,3759,115,17.9,3898.5
480,20240226,3,3,1,2504,52,4.2,650.0
481,20240226,3,2,2,2502,74,4.1,1050.8
482,20240226,4,2,3,4964,146,3.8,3328.8
483,20240226,2,1,1,5885,112,17.8,1400.0
484,20240227,3,1,4,2316,47,73.3,1179.7
485,20240227,4,1,7,5118,98,4.0,3087.0
486,20240227,2,3,5,7049,111,2.3,710.4
487,20240227,1,1,3,4513,105,9.5,2394.0
488,20240227,1,3,4,3865,144,15.7,3614.4
489,20240227,2,1,5,5448,160,14.4,1024.0
490,20240228,1,1,2,4265,129,6.5,1831.8
491,20240228,1,2,5,2858,73,1.0,467.2
492,20240228,1,3,2,4325,170,1.5,2414.0
493,20240228,3,3,1,2319,81,16.9,1012.5
494,20240228,4,3,7,4866,138,0.0,4347.0
495,20240228,1,1,8,4059,208,30.9,7051.2
496,20240228,4,2,4,4413,148,10.2,3714.8
497,20240228,2,3,1,7388,251,24.9,3137.5
498,20240228,4,3,8,5856,164,0.0,5559.6
499,20240229,3,1,6,2680,21,28.7,149.1
500,20240229,2,2,5,3908,144,61.4,921.6
501,20240229,4,2,1,3278,58,31.3,725.0
502,20240229,4,1,8,4657,21,16.0,711.9
503,20240229,4,1,4,4545,216,22.2,5421.6
504,20240229,1,3,5,3714,10,0.1,64.0
505,20240229,3,3,8,2485,72,55.2,2440.8
506,20240229,4,3,3,3964,157,20.7,3579.6
507,20240301,2,2,1,5181,98,12.7,1225.0
508,20240301,3,1,2,2404,100,3.5,1420.0
509,20240301,1,2,6,3822,78,13.6,553.8
510,20240301,4,1,7,5008,154,10.2,4851.0
511,20240301,3,2,4,1983,67,5.4,1681.7
512,20240301,2,2,1,6425,243,2.2,3037.5
513,20240301,2,2,5,5998,259,6.3,1657.6
514,20240302,4,3,1,3845,150,38.5,1875.0
515,20240302,2,3,4,5562,138,5.4,3463.8
516,20240302,4,3,6,3745,162,104.1,1150.2
517,20240302,4,2,7,5218,231,0.0,7276.5
518,20240302,2,2,1,5731,297,1.0,3712.5
519,20240302,1,3,3,3592,17,7.9,387.6
520,20240302,2,1,8,6308,133,64.9,4508.7
521,20240303,4,1,5,4316,149,9.4,953.6
522,20240303,3,1,1,2812,25,1.7,312.5
523,20240303,3,1,7,2320,70,13.4,2205.0
524,20240303,3,3,5,2605,102,5.4,652.8
525,20240303,2,3,5,6759,137,17.4,876.8
526,20240303,1,3,7,4068,176,32.4,5544.0
527,20240303,3,1,2,2823,72,26.8,1022.4
528,20240303,1,3,6,3953,111,15.4,788.1
529,20240304,2,3,6,5257,90,7.9,639.0
530,20240304,2,2,3,6497,214,3.3,4879.2
531,20240304,3,2,2,3380,221,2.0,3138.2
532,20240304,1,2,3,4355,71,13.9,1618.8
533,20240304,2,2,7,6360,122,20.2,3843.0
534,20240304,2,3,5,6091,187,8.7,1196.8
535,20240304,2,3,6,6266,230,5.2,1633.0
536,20240305,3,2,8,2828,129,6.4,4373.1
537,20240305,4,1,1,4368,147,25.8,1837.5
538,20240305,3,3,3,3082,103,2.6,2348.4
539,20240305,2,1,5,5527,110,1.7,704.0
